"model","brand","impedance","z_min","wattage_rms","wattage_peak","max_spl","taps","type","category"
"VXH6","Yamaha","8","6.4","75.0","300","111","60,30,15","Both","small_fullrange"
"VXH8","Yamaha","8","6.4","90.0","360","116","60,30,15","Both","small_fullrange"
"VXL1-16","Yamaha","12","9.6","160.0","320","113","","Lo-Z","small_fullrange"
"VXL1-24","Yamaha","8","6.4","220.0","440","116","","Lo-Z","large_fullrange"
"VXL1-8","Yamaha","16","12.8","80.0","160","110","","Lo-Z","small_fullrange"
"VXS10S","Yamaha","8","6.4","200.0","400","125","","Lo-Z","subwoofer"
"VXS10ST","Yamaha","8","6.4","200.0","400","125","200,100,50","Both","subwoofer"
"VXS1ML","Yamaha","8","6.4","10.0","20","92","","Lo-Z","satelite"
"VXS3F","Yamaha","8","6.4","40.0","80","105","15,7.5,3.8","Both","small_fullrange"
"VXS3S","Yamaha","8","6.4","40.0","80","105","15,7.5,3.8,1.9","Both","subwoofer"
"VXS5","Yamaha","8","6.4","150.0","300","114","30,15,7.5","Both","small_fullrange"
"VXS8","Yamaha","8","6.4","180.0","360","117","60,30,15","Both","small_fullrange"
